player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0037277,Teagan Quitoriano,TE,HOU,64.19193415482098,Medium,52.80000019073486,7.0,25.5,698.0,79.0,,Deep League
00-0037252,Greg Dulcich,TE,NYG,63.82225593326118,Medium,15.0,2.0,25.4,699.0,80.0,,Deep League
00-0035771,Mitchell Wilcox,TE,NE,62.955580341864724,High,95.30000019073486,11.0,28.8,700.0,81.0,,Deep League
00-0036590,Quintin Morris,TE,BUF,62.724466486834885,High,16.59999990463257,2.0,26.6,703.0,82.0,,Deep League
00-0036438,Stephen Sullivan,TE,CAR,60.8917925093337,High,59.5,10.0,28.8,706.0,83.0,,Deep League
00-0038720,Julian Hill,TE,MIA,58.303039972227076,High,27.800000190734863,6.0,25.1,712.0,84.0,,Deep League
00-0035547,Joseph Fortson,TE,KC,57.82575841805914,High,60.30000019073486,10.0,29.7,715.0,85.0,,Deep League
00-0036510,Kenny Yeboah,TE,NYJ,57.52049138412221,Medium,10.799999952316284,2.0,26.8,716.0,86.0,,Deep League
00-0037086,Grant Calcaterra,TE,PHI,56.52982782564807,Medium,20.90000009536743,2.0,26.7,718.0,87.0,,Deep League
00-0036332,Josiah Deguara,TE,JAX,56.520223500882665,High,37.5,4.0,28.5,719.0,88.0,,Deep League
00-0037654,Tucker Fisk,TE,LAC,56.44124293801033,Medium,5.400000035762787,1.0,26.6,720.0,89.0,,Deep League
00-0035308,Tommy Sweeney,TE,CHI,53.69436094869696,Medium,44.90000009536743,7.0,30.2,728.0,90.0,,Deep League
00-0036887,Luke Farrell,TE,JAX,53.55056196193884,High,66.0,9.0,27.9,729.0,91.0,,Deep League
00-0039050,Payne Durham,TE,TB,53.46199033131229,High,32.60000038146973,7.0,25.2,730.0,92.0,,Deep League
00-0037306,John FitzPatrick,TE,GB,53.20647285801166,Medium,5.700000047683716,1.0,25.5,731.0,93.0,,Deep League
00-0038809,Ben Sims,TE,GB,52.06520366976925,Medium,29.0,7.0,25.3,736.0,94.0,,Deep League
00-0037311,Ko Kieft,TE,TB,50.91931490400395,Medium,43.5,9.0,27.6,741.0,95.0,,Deep League
00-0035572,Parker Hesse,TE,DET,50.32201466354543,Medium,24.800000190734863,4.0,30.3,744.0,96.0,,Deep League
00-0031299,Jordan Matthews,TE,CAR,48.73470549763469,Medium,14.300000190734863,2.0,33.1,748.0,97.0,,Deep League
00-0035039,Stephen Carlson,TE,CHI,48.46576421712499,High,30.59999990463257,6.0,28.7,749.0,98.0,,Deep League
00-0038046,Charlie Kolar,TE,BAL,46.564053916277224,High,48.10000038146973,7.0,26.6,753.0,99.0,,Deep League
00-0037011,Tre' McKitty,TE,CLE,45.38572970742163,High,28.5,6.0,26.6,756.0,100.0,,Deep League
00-0031690,Eric Tomlinson,TE,LAC,44.13409229596023,Medium,56.40000009536743,8.0,33.4,759.0,101.0,,Deep League
00-0033576,Eric Saubert,TE,SF,43.83520217124616,Medium,12.700000047683716,3.0,31.3,760.0,102.0,,Deep League
00-0035345,Chris Myarick,TE,HOU,43.24669167962338,High,20.200000047683716,4.0,29.9,763.0,103.0,,Deep League
00-0032394,Nick Vannett,TE,TEN,42.44006026826726,Medium,4.800000011920929,1.0,32.5,766.0,104.0,,Deep League
00-0037539,Lucas Krull,TE,DEN,41.920652136162936,Medium,48.5,7.0,27.1,767.0,105.0,,Deep League
00-0038783,Nate Adkins,TE,DEN,41.745213142252354,Medium,17.200000047683716,4.0,26.1,768.0,106.0,,Deep League
00-0036741,Jack Stoll,TE,MIA,39.77220296934651,High,23.300000190734863,5.0,27.6,776.0,107.0,,Deep League
